2021-02-09 09:52:24,989 baseline INFO: Running with config:
baseline
2021-02-09 09:52:32,690 baseline.train INFO: start training
2021-02-09 12:42:48,913 baseline.train INFO: Epoch[2] Iteration[550/3385] Loss: 0.227, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 12:44:43,637 baseline.train INFO: Epoch[2] Iteration[600/3385] Loss: 0.227, Acc: 0.904, Base Lr: 7.28e-05
2021-02-09 12:46:36,098 baseline.train INFO: Epoch[2] Iteration[650/3385] Loss: 0.227, Acc: 0.904, Base Lr: 7.28e-05
2021-02-09 12:48:26,908 baseline.train INFO: Epoch[2] Iteration[700/3385] Loss: 0.226, Acc: 0.904, Base Lr: 7.28e-05
2021-02-09 12:50:22,775 baseline.train INFO: Epoch[2] Iteration[750/3385] Loss: 0.226, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 12:52:17,884 baseline.train INFO: Epoch[2] Iteration[800/3385] Loss: 0.225, Acc: 0.905, Base Lr: 7.28e-05
2021-02-09 12:54:15,368 baseline.train INFO: Epoch[2] Iteration[850/3385] Loss: 0.225, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 12:56:06,228 baseline.train INFO: Epoch[2] Iteration[900/3385] Loss: 0.225, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 12:58:00,294 baseline.train INFO: Epoch[2] Iteration[950/3385] Loss: 0.225, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 12:59:55,035 baseline.train INFO: Epoch[2] Iteration[1000/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:01:46,789 baseline.train INFO: Epoch[2] Iteration[1050/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:03:43,646 baseline.train INFO: Epoch[2] Iteration[1100/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:05:38,841 baseline.train INFO: Epoch[2] Iteration[1150/3385] Loss: 0.223, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:07:34,519 baseline.train INFO: Epoch[2] Iteration[1200/3385] Loss: 0.223, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:09:26,245 baseline.train INFO: Epoch[2] Iteration[1250/3385] Loss: 0.223, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:11:18,461 baseline.train INFO: Epoch[2] Iteration[1300/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:13:12,775 baseline.train INFO: Epoch[2] Iteration[1350/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:15:07,885 baseline.train INFO: Epoch[2] Iteration[1400/3385] Loss: 0.223, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:17:03,188 baseline.train INFO: Epoch[2] Iteration[1450/3385] Loss: 0.223, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:18:49,206 baseline.train INFO: Epoch[2] Iteration[1500/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:20:41,544 baseline.train INFO: Epoch[2] Iteration[1550/3385] Loss: 0.224, Acc: 0.906, Base Lr: 7.28e-05
2021-02-09 13:22:36,297 baseline.train INFO: Epoch[2] Iteration[1600/3385] Loss: 0.225, Acc: 0.906, Base Lr: 7.28e-05
